<Header>
User name: 
Location: 
Model: 1.109
Serial No.: 9G100048
Firmware revision: 12.30E
Software revision: 5-1 Rev IV (12-04-2017)
Unit: ug/m3
C-factor: 1.00
Comment: 
online data
<Data>
[d&t12/31/2035 11:50:55 AM]	PM10 [ug/m3]	PM2.5 [ug/m3]	PM1 [ug/m3]	Inhalable [ug/m3]	Thoracic [ug/m3]	Alveolic [ug/m3]
2/12/2019 4:19:04 AM	9.0	9.0	9.0	9.0	9.0	9.0
2/12/2019 4:19:10 AM	9.3	9.3	9.1	9.3	9.3	9.3
2/12/2019 4:19:16 AM	10.3	10.2	9.3	10.3	10.3	10.2
2/12/2019 4:19:22 AM	9.5	9.5	9.1	9.5	9.5	9.5
2/12/2019 4:19:28 AM	11.1	10.6	9.3	11.1	11.1	10.8
2/12/2019 4:19:34 AM	9.7	9.7	9.4	9.7	9.7	9.7
2/12/2019 4:19:40 AM	11.3	10.9	9.4	11.3	11.3	11.1
2/12/2019 4:19:46 AM	9.2	9.2	8.8	9.2	9.2	9.2
2/12/2019 4:19:52 AM	8.7	8.7	8.7	8.7	8.7	8.7
2/12/2019 4:19:58 AM	9.1	9.1	9.0	9.1	9.1	9.1
2/12/2019 4:20:04 AM	11.9	11.5	9.4	11.9	11.9	11.7
2/12/2019 4:20:10 AM	9.6	9.6	9.1	9.6	9.6	9.6
2/12/2019 4:20:16 AM	9.6	9.6	9.0	9.6	9.6	9.6
2/12/2019 4:20:22 AM	11.6	10.4	9.3	11.6	11.6	10.9
2/12/2019 4:20:28 AM	9.0	9.0	9.0	9.0	9.0	9.0
2/12/2019 4:20:34 AM	10.1	9.2	8.2	10.1	10.1	9.6
2/12/2019 4:20:40 AM	8.6	8.6	8.5	8.6	8.6	8.6
2/12/2019 4:20:46 AM	10.3	9.8	9.1	10.3	10.3	10.1
2/12/2019 4:20:52 AM	9.4	9.4	9.1	9.4	9.4	9.3
2/12/2019 4:20:58 AM	11.1	9.5	9.0	11.1	11.1	10.2
2/12/2019 4:21:04 AM	9.1	9.1	8.9	9.1	9.1	9.1
2/12/2019 4:21:10 AM	8.7	8.7	8.6	8.7	8.7	8.7
2/12/2019 4:21:16 AM	9.3	9.3	9.2	9.3	9.3	9.3
2/12/2019 4:21:22 AM	13.2	9.4	8.9	13.2	12.9	10.1
2/12/2019 4:21:28 AM	17.0	9.5	8.9	17.3	15.3	10.1
2/12/2019 4:21:34 AM	11.2	9.5	8.9	11.2	11.2	9.9
2/12/2019 4:21:40 AM	8.7	8.7	8.7	8.7	8.7	8.7
2/12/2019 4:21:46 AM	9.0	9.0	9.0	9.0	9.0	9.0
2/12/2019 4:21:52 AM	9.2	9.1	8.5	9.2	9.2	9.2
2/12/2019 4:21:58 AM	14.9	10.5	8.9	14.9	14.8	11.8
2/12/2019 4:22:04 AM	8.9	8.9	8.8	8.9	8.9	8.9
2/12/2019 4:22:10 AM	9.6	9.6	8.9	9.6	9.6	9.6
2/12/2019 4:22:16 AM	8.7	8.7	8.7	8.7	8.7	8.7
2/12/2019 4:22:22 AM	9.1	9.1	9.1	9.1	9.1	9.1
2/12/2019 4:22:28 AM	9.1	9.1	8.9	9.1	9.1	9.1
2/12/2019 4:22:34 AM	9.2	9.2	8.9	9.2	9.2	9.2
2/12/2019 4:22:40 AM	10.4	9.9	9.1	10.4	10.4	10.1
2/12/2019 4:22:46 AM	9.1	9.1	8.9	9.1	9.1	9.1
2/12/2019 4:22:52 AM	14.1	9.9	8.8	14.1	13.7	10.7
2/12/2019 4:22:58 AM	9.8	9.8	9.1	9.8	9.8	9.8
2/12/2019 4:23:04 AM	148.2	104.0	14.0	163.1	145.7	113.7
2/12/2019 4:23:10 AM	53.2	9.0	8.7	68.8	46.3	10.8
2/12/2019 4:23:16 AM	8.6	8.6	8.5	8.6	8.6	8.6
2/12/2019 4:23:22 AM	11.4	9.5	8.9	11.4	11.4	10.4
2/12/2019 4:23:28 AM	8.9	8.9	8.8	8.9	8.9	8.9
2/12/2019 4:23:34 AM	8.9	8.9	8.4	8.9	8.9	8.9
2/12/2019 4:23:40 AM	11.7	11.0	8.8	11.7	11.7	11.3
2/12/2019 4:23:46 AM	10.6	10.4	9.1	10.6	10.6	10.5
2/12/2019 4:23:52 AM	24.0	9.8	8.8	24.3	21.3	10.7
2/12/2019 4:23:58 AM	19.8	15.5	9.1	19.8	19.5	16.4
2/12/2019 4:24:04 AM	8.4	8.4	8.2	8.4	8.4	8.4
2/12/2019 4:24:10 AM	11.3	9.5	8.9	11.3	11.3	10.3
2/12/2019 4:24:16 AM	11.2	9.8	8.6	11.2	11.2	10.4
2/12/2019 4:24:22 AM	9.1	9.0	8.3	9.1	9.1	9.0
2/12/2019 4:24:28 AM	8.5	8.5	8.5	8.5	8.5	8.5
2/12/2019 4:24:34 AM	8.4	8.4	8.4	8.4	8.4	8.4
2/12/2019 4:24:40 AM	15.7	9.9	8.6	15.7	15.3	11.1
2/12/2019 4:24:46 AM	8.7	8.7	8.3	8.7	8.7	8.7
2/12/2019 4:24:52 AM	8.4	8.4	8.3	8.4	8.4	8.4
2/12/2019 4:24:58 AM	16.3	8.8	8.4	21.2	15.4	8.9
2/12/2019 4:25:04 AM	9.1	9.1	8.4	9.1	9.1	9.1
2/12/2019 4:25:10 AM	10.9	10.3	8.5	10.9	10.9	10.6
2/12/2019 4:25:16 AM	10.3	8.9	8.2	10.3	10.3	9.5
2/12/2019 4:25:22 AM	11.2	8.7	8.4	11.2	11.1	9.5
2/12/2019 4:25:28 AM	8.8	8.8	8.3	8.8	8.8	8.8
2/12/2019 4:25:34 AM	9.1	9.1	8.7	9.1	9.1	9.1
2/12/2019 4:25:40 AM	10.6	8.9	8.5	10.6	10.6	9.7
2/12/2019 4:25:46 AM	10.1	9.3	8.6	10.1	10.1	9.7
2/12/2019 4:25:52 AM	8.4	8.4	8.3	8.4	8.4	8.4
