Title: autostart_1
Comment: 

Start at: 4/8/2019 - 8:00:36 PM
Duration: 25:02:20
Moving Average: 120 s
Mean PM tot.: NaN
Operator: User

Limits: 
no limits set

Comments: 
no comments available

Notifications: 
no notifications recorded

timestamp	PM 1	PM 2.5	PM 4	PM 10	PM tot.	dCn	Latitude	Longitude	timestamp	temperature [°C]	rel. humidity [%]	ambient pressure [hPa]
4/8/2019 - 8:09:57 PM	7.74	9.20	10.67	17.78	29.95	244.76	-1.000000	-1.000000	4/8/2019 - 8:05:17 PM	31.48	32.95	988.28
4/8/2019 - 8:10:07 PM	7.72	9.16	10.62	17.60	29.56	244.05	-1.000000	-1.000000	4/8/2019 - 8:05:22 PM	31.48	32.95	988.28
4/8/2019 - 8:10:17 PM	7.69	9.11	10.54	17.41	29.17	243.19	-1.000000	-1.000000	4/8/2019 - 8:05:27 PM	31.14	33.56	988.28
4/8/2019 - 8:10:27 PM	7.66	9.08	10.51	17.26	28.82	242.93	-1.000000	-1.000000	4/8/2019 - 8:05:32 PM	30.10	35.35	988.28
4/8/2019 - 8:10:37 PM	7.64	9.04	10.45	17.09	28.46	242.44	-1.000000	-1.000000	4/8/2019 - 8:05:37 PM	29.76	36.02	988.40
4/8/2019 - 8:10:47 PM	7.63	9.01	10.40	16.93	28.12	242.25	-1.000000	-1.000000	4/8/2019 - 8:05:42 PM	29.76	36.29	988.16
4/8/2019 - 8:10:57 PM	7.61	9.03	10.47	16.90	27.92	241.86	-1.000000	-1.000000	4/8/2019 - 8:05:47 PM	29.76	36.29	988.28
4/8/2019 - 8:11:07 PM	7.59	9.00	10.45	16.77	27.62	241.55	-1.000000	-1.000000	4/8/2019 - 8:05:52 PM	29.76	36.16	988.28
4/8/2019 - 8:11:17 PM	7.59	9.02	10.41	17.47	33.84	241.25	-1.000000	-1.000000	4/8/2019 - 8:05:57 PM	29.76	36.16	988.28
4/8/2019 - 8:11:27 PM	7.58	9.04	10.55	17.50	33.64	241.11	-1.000000	-1.000000	4/8/2019 - 8:06:01 PM	29.76	36.16	988.28
4/8/2019 - 8:11:36 PM	7.55	9.00	10.49	17.33	33.23	240.68	-1.000000	-1.000000	4/8/2019 - 8:06:06 PM	29.76	36.87	988.28
4/8/2019 - 8:11:46 PM	7.54	8.97	10.44	17.18	32.84	240.46	-1.000000	-1.000000	4/8/2019 - 8:06:11 PM	29.76	36.87	988.28
4/8/2019 - 8:11:56 PM	7.53	8.93	10.39	17.03	32.47	239.98	-1.000000	-1.000000	4/8/2019 - 8:06:16 PM	29.76	37.50	988.16
4/8/2019 - 8:12:06 PM	7.51	8.90	10.33	16.88	32.10	239.81	-1.000000	-1.000000	4/8/2019 - 8:06:21 PM	29.76	37.50	988.28
4/8/2019 - 8:12:16 PM	7.49	8.86	10.28	16.74	31.74	239.23	-1.000000	-1.000000	4/8/2019 - 8:06:26 PM	29.80	37.81	988.16
4/8/2019 - 8:12:26 PM	7.47	8.82	10.23	16.59	31.39	238.79	-1.000000	-1.000000	4/8/2019 - 8:06:31 PM	29.88	37.65	988.16
4/8/2019 - 8:12:36 PM	7.45	8.79	10.18	16.46	31.05	238.51	-1.000000	-1.000000	4/8/2019 - 8:06:36 PM	29.96	37.51	988.16
4/8/2019 - 8:12:46 PM	7.42	8.74	10.12	16.31	30.71	237.94	-1.000000	-1.000000	4/8/2019 - 8:06:41 PM	29.96	37.51	988.03
4/8/2019 - 8:12:56 PM	7.41	8.71	10.07	16.18	30.39	237.52	-1.000000	-1.000000	4/8/2019 - 8:06:46 PM	29.96	37.74	988.16
4/8/2019 - 8:13:06 PM	7.39	8.69	10.04	16.06	30.08	237.21	-1.000000	-1.000000	4/8/2019 - 8:06:51 PM	29.96	37.74	987.91
4/8/2019 - 8:13:16 PM	7.40	8.69	10.03	15.98	29.82	237.38	-1.000000	-1.000000	4/8/2019 - 8:06:56 PM	29.96	38.49	988.03
4/8/2019 - 8:13:26 PM	7.40	8.67	10.00	15.87	29.53	237.92	-1.000000	-1.000000	4/8/2019 - 8:07:01 PM	29.96	38.49	988.03
4/8/2019 - 8:13:36 PM	7.39	8.74	10.14	16.96	37.04	237.90	-1.000000	-1.000000	4/8/2019 - 8:07:06 PM	29.96	38.60	988.16
4/8/2019 - 8:13:46 PM	7.38	8.75	10.22	17.04	36.93	237.69	-1.000000	-1.000000	4/8/2019 - 8:07:11 PM	29.96	38.60	988.03
4/8/2019 - 8:13:57 PM	7.38	8.74	10.19	16.93	36.57	238.89	-1.000000	-1.000000	4/8/2019 - 8:07:16 PM	29.96	38.60	988.03
4/8/2019 - 8:14:07 PM	7.38	8.73	10.19	16.84	36.25	239.03	-1.000000	-1.000000	4/8/2019 - 8:07:21 PM	29.96	37.97	988.03
4/8/2019 - 8:14:17 PM	7.38	8.72	10.16	16.74	35.91	239.37	-1.000000	-1.000000	4/8/2019 - 8:07:26 PM	30.03	37.84	987.91
4/8/2019 - 8:14:27 PM	7.36	8.69	10.12	16.62	35.56	239.10	-1.000000	-1.000000	4/8/2019 - 8:07:31 PM	30.16	36.98	987.91
4/8/2019 - 8:14:37 PM	7.36	8.67	10.09	16.51	35.23	239.03	-1.000000	-1.000000	4/8/2019 - 8:07:36 PM	30.29	36.73	988.03
4/8/2019 - 8:14:47 PM	7.35	8.66	10.07	16.42	34.92	238.62	-1.000000	-1.000000	4/8/2019 - 8:07:41 PM	30.29	36.19	988.03
4/8/2019 - 8:14:57 PM	7.34	8.63	10.03	16.30	34.60	238.44	-1.000000	-1.000000	4/8/2019 - 8:07:46 PM	30.29	36.19	988.03
4/8/2019 - 8:15:07 PM	7.32	8.60	9.99	16.19	34.27	238.07	-1.000000	-1.000000	4/8/2019 - 8:07:51 PM	30.29	36.09	988.16
4/8/2019 - 8:15:17 PM	7.31	8.58	9.95	16.08	33.96	237.70	-1.000000	-1.000000	4/8/2019 - 8:07:56 PM	30.29	36.09	988.03
4/8/2019 - 8:15:27 PM	7.26	8.52	9.88	15.95	33.63	236.55	-1.000000	-1.000000	4/8/2019 - 8:08:01 PM	30.29	36.04	988.16
4/8/2019 - 8:15:37 PM	7.25	8.50	9.85	15.85	33.33	236.29	-1.000000	-1.000000	4/8/2019 - 8:08:06 PM	30.29	36.04	988.03
4/8/2019 - 8:15:47 PM	7.25	8.48	9.82	15.75	33.05	236.17	-1.000000	-1.000000	4/8/2019 - 8:08:12 PM	30.29	36.17	988.16
4/8/2019 - 8:15:57 PM	7.24	8.46	9.79	15.66	32.77	235.94	-1.000000	-1.000000	4/8/2019 - 8:08:17 PM	30.29	36.17	988.16
4/8/2019 - 8:16:07 PM	7.24	8.46	9.77	15.58	32.51	236.05	-1.000000	-1.000000	4/8/2019 - 8:08:22 PM	30.29	36.18	988.16
4/8/2019 - 8:16:17 PM	7.24	8.45	9.76	15.51	32.26	235.74	-1.000000	-1.000000	4/8/2019 - 8:08:27 PM	30.34	36.07	988.03
4/8/2019 - 8:16:27 PM	7.24	8.44	9.74	15.43	32.00	235.74	-1.000000	-1.000000	4/8/2019 - 8:08:32 PM	30.46	35.99	988.03
4/8/2019 - 8:16:37 PM	7.23	8.42	9.71	15.34	31.74	235.50	-1.000000	-1.000000	4/8/2019 - 8:08:37 PM	30.57	35.77	988.28
4/8/2019 - 8:16:47 PM	7.22	8.40	9.68	15.25	31.49	235.30	-1.000000	-1.000000	4/8/2019 - 8:08:42 PM	30.58	35.97	988.16
4/8/2019 - 8:16:57 PM	7.22	8.39	9.66	15.17	31.25	235.16	-1.000000	-1.000000	4/8/2019 - 8:08:47 PM	30.62	35.88	988.16
4/8/2019 - 8:17:07 PM	7.22	8.38	9.64	15.10	31.01	234.94	-1.000000	-1.000000	4/8/2019 - 8:08:52 PM	30.65	35.46	988.28
4/8/2019 - 8:17:17 PM	7.21	8.36	9.61	15.01	30.77	234.57	-1.000000	-1.000000	4/8/2019 - 8:08:57 PM	30.66	35.44	988.16
4/8/2019 - 8:17:27 PM	7.20	8.34	9.58	14.93	30.53	234.39	-1.000000	-1.000000	4/8/2019 - 8:09:02 PM	30.66	34.07	988.16
4/8/2019 - 8:17:36 PM	7.19	8.32	9.55	14.85	30.30	234.08	-1.000000	-1.000000	4/8/2019 - 8:09:07 PM	30.61	34.15	987.91
4/8/2019 - 8:17:46 PM	7.19	8.31	9.53	14.78	30.08	234.01	-1.000000	-1.000000	4/8/2019 - 8:09:12 PM	30.63	33.48	988.16
4/8/2019 - 8:17:56 PM	7.17	8.28	9.49	14.69	29.85	233.72	-1.000000	-1.000000	4/8/2019 - 8:09:17 PM	30.68	33.40	988.16
4/8/2019 - 8:18:06 PM	7.17	8.27	9.47	14.62	29.63	233.89	-1.000000	-1.000000	4/8/2019 - 8:09:22 PM	30.66	32.86	988.03
